Iteration	Posterior	Likelihood	Tree Prior	Pi[0]	Pi[1]	Pi[2]	Pi[3]	AC	AG	AT	CG	CT	GT
750	-4978.668573	-4814.513700	-163.852533	0.210539	0.284532	0.319505	0.185425	0.149376	0.328552	1.625859	0.018901	0.000556	0.339747
760	-4969.104074	-4805.788081	-163.101905	0.216618	0.255247	0.339995	0.188140	0.117516	0.328552	1.625859	0.033110	0.000556	0.339747
770	-4971.531688	-4805.397611	-165.919989	0.224440	0.250985	0.368912	0.155664	0.117516	0.328552	1.625859	0.033110	0.000556	0.339747
780	-4969.283055	-4803.601736	-165.722125	0.224440	0.250985	0.368912	0.155664	0.117516	0.328552	1.625859	0.033110	0.000556	0.288768
790	-4971.011383	-4804.417814	-166.634376	0.224440	0.250985	0.368912	0.155664	0.117516	0.328552	1.625859	0.033110	0.000556	0.288768
800	-4973.133113	-4806.541553	-166.652251	0.204614	0.286257	0.353865	0.155265	0.117516	0.328552	1.625859	0.029133	0.000556	0.288768
810	-4967.566406	-4804.891393	-163.594043	0.218080	0.276018	0.343222	0.162680	0.117516	0.328552	1.457419	0.025950	0.000511	0.288768
820	-4962.259745	-4801.069107	-162.108693	0.218457	0.255268	0.358499	0.167776	0.117516	0.328552	1.457419	0.025950	0.000706	0.288768
830	-4963.222275	-4801.725980	-162.497458	0.213044	0.265710	0.334922	0.186324	0.100894	0.328552	1.457419	0.025950	0.000706	0.288768
840	-4964.019979	-4802.467451	-162.549892	0.210986	0.243858	0.348650	0.196506	0.100894	0.328552	1.457419	0.025950	0.001466	0.288768
850	-4962.135328	-4802.832590	-160.176531	0.212481	0.254038	0.347551	0.185930	0.100894	0.328552	1.477100	0.030982	0.001466	0.288768
860	-4970.351610	-4810.412785	-160.812618	0.246491	0.244117	0.336173	0.173219	0.100894	0.328552	1.477100	0.030982	0.001466	0.288768
870	-4972.632063	-4816.225037	-157.517925	0.246491	0.244117	0.336173	0.173219	0.100894	0.328552	1.477100	0.030982	0.001466	0.241347
880	-4979.907948	-4821.790497	-159.350934	0.246491	0.244117	0.336173	0.173219	0.081826	0.328552	1.477100	0.025534	0.001466	0.241347
890	-4976.904346	-4818.897634	-158.972606	0.231382	0.251234	0.334194	0.183190	0.135344	0.328552	1.477100	0.025534	0.001466	0.241347
900	-4979.126529	-4817.795576	-162.292573	0.240371	0.223359	0.353382	0.182888	0.135344	0.328552	1.477100	0.025534	0.002321	0.241347
910	-4980.835475	-4819.070214	-162.723925	0.216592	0.225217	0.374506	0.183685	0.135344	0.328552	1.477100	0.025534	0.002912	0.241347
920	-4978.847533	-4817.086209	-162.719988	0.216592	0.225217	0.374506	0.183685	0.135344	0.328552	1.477100	0.025534	0.002912	0.241347
930	-4985.486951	-4825.739996	-160.669271	0.220928	0.258784	0.321750	0.198537	0.135344	0.328552	1.477100	0.032803	0.002912	0.241347
940	-4984.130896	-4827.252446	-157.792079	0.227976	0.239805	0.331197	0.201022	0.135344	0.328552	1.477100	0.034541	0.002912	0.241347
950	-4987.614222	-4833.702725	-154.817450	0.227613	0.278819	0.330391	0.163176	0.135344	0.328552	1.477100	0.034541	0.004447	0.241347
960	-4976.186736	-4826.622950	-150.865307	0.233115	0.259538	0.345561	0.161786	0.069985	0.328552	1.477100	0.020786	0.004447	0.241347
970	-4983.237544	-4833.316897	-151.129486	0.238876	0.246357	0.353814	0.160954	0.069985	0.322207	1.477100	0.045667	0.004447	0.241347
980	-4980.636117	-4832.551139	-149.303144	0.238876	0.246357	0.353814	0.160954	0.069985	0.322207	1.477100	0.045667	0.002582	0.241347
990	-4973.786071	-4825.420939	-149.755893	0.238876	0.246357	0.353814	0.160954	0.069985	0.322207	1.443492	0.045667	0.001671	0.241347
1000	-4981.882806	-4833.662007	-149.772700	0.237753	0.208204	0.364530	0.189514	0.154774	0.222668	1.443492	0.025291	0.004569	0.241347
1010	-4983.672920	-4835.483041	-149.741779	0.237753	0.208204	0.364530	0.189514	0.154774	0.222668	1.443492	0.025291	0.004569	0.241347
1020	-4982.218869	-4834.773946	-150.949826	0.216893	0.243677	0.351011	0.188419	0.067337	0.222668	1.140329	0.025291	0.004569	0.241347
1030	-4979.476190	-4831.446992	-151.534101	0.217269	0.242458	0.373638	0.166635	0.067337	0.222668	1.140329	0.025291	0.004569	0.241347
1040	-4978.741005	-4830.753842	-151.543105	0.209686	0.257770	0.349501	0.183043	0.067337	0.222668	1.140329	0.015083	0.004569	0.241347
1050	-4980.160525	-4832.138087	-151.618333	0.209686	0.257770	0.349501	0.183043	0.059346	0.222668	1.140329	0.015083	0.004569	0.241347
1060	-4968.574947	-4822.262399	-151.580706	0.209686	0.257770	0.349501	0.183043	0.060217	0.222668	0.858070	0.015083	0.004569	0.188282
1070	-4963.248231	-4817.493242	-151.023147	0.209686	0.257770	0.349501	0.183043	0.060217	0.222668	0.858070	0.015083	0.004569	0.188282
1080	-4960.460364	-4814.910446	-151.023147	0.209686	0.257770	0.349501	0.183043	0.060217	0.222668	0.858070	0.015083	0.004569	0.147268
1090	-4962.410663	-4816.888091	-150.995801	0.204806	0.230139	0.382912	0.182143	0.060217	0.222668	0.858070	0.015083	0.004569	0.147268
1100	-4963.051674	-4817.892472	-151.328349	0.238043	0.211078	0.370890	0.179989	0.060217	0.153591	0.780715	0.022332	0.004569	0.147268
1110	-4955.694812	-4811.875738	-149.982522	0.238043	0.211078	0.370890	0.179989	0.060217	0.153591	0.780715	0.022332	0.005709	0.147268
1120	-4955.881946	-4811.576724	-150.460931	0.238043	0.211078	0.370890	0.179989	0.060217	0.153591	0.780715	0.019430	0.005709	0.151718
1130	-4955.094815	-4811.626045	-149.395857	0.238043	0.211078	0.370890	0.179989	0.060217	0.153591	0.780715	0.019430	0.005806	0.197345
1140	-4954.646485	-4812.319501	-148.575680	0.238043	0.211078	0.370890	0.179989	0.060217	0.153591	0.780715	0.027235	0.003614	0.127410
1150	-4957.087540	-4814.022029	-149.071361	0.237316	0.224729	0.350585	0.187371	0.060217	0.202160	0.780715	0.027235	0.003614	0.127410
1160	-4961.278477	-4819.892177	-147.392151	0.219865	0.245696	0.353584	0.180855	0.060217	0.202160	0.780715	0.027235	0.003614	0.127410
1170	-4959.863068	-4817.581931	-148.160953	0.219865	0.245696	0.353584	0.180855	0.060217	0.202160	0.780715	0.027235	0.003614	0.152617
1180	-4960.738047	-4819.880929	-146.736934	0.222817	0.236068	0.364027	0.177087	0.060217	0.202160	0.780715	0.027235	0.003614	0.152617
1190	-4961.698937	-4822.260641	-142.842102	0.222817	0.236068	0.364027	0.177087	0.060217	0.202160	1.275917	0.027235	0.003614	0.152617
1200	-4970.382102	-4830.104760	-142.842102	0.242510	0.244889	0.366947	0.145654	0.068285	0.202160	1.275917	0.033241	0.003614	0.306353
1210	-4965.328112	-4824.861383	-143.017800	0.242510	0.244889	0.366947	0.145654	0.068285	0.202160	1.275917	0.033241	0.006352	0.306353
1220	-4964.068525	-4824.118992	-142.500916	0.208355	0.269715	0.367550	0.154380	0.068285	0.202160	1.275917	0.033178	0.006352	0.306353
1230	-4963.387670	-4822.346225	-143.491584	0.205048	0.255454	0.382749	0.156748	0.093343	0.202160	1.275917	0.033178	0.001543	0.306353
1240	-4959.267111	-4814.250252	-147.517967	0.211381	0.232176	0.388738	0.167706	0.093343	0.202160	1.275917	0.023333	0.001194	0.306353
1250	-4960.665274	-4814.864628	-148.301498	0.207970	0.227056	0.378495	0.186478	0.093343	0.202160	1.275917	0.023333	0.001246	0.306353
1260	-4959.543516	-4812.688451	-149.047373	0.223428	0.220061	0.389375	0.167136	0.093343	0.266705	1.275917	0.020497	0.001246	0.306353
1270	-4963.981418	-4815.474874	-149.020957	0.223428	0.220061	0.389375	0.167136	0.093343	0.266705	1.611778	0.020497	0.000964	0.306353
1280	-4963.964357	-4815.313102	-149.020957	0.242303	0.208293	0.368553	0.180851	0.122286	0.266705	1.611778	0.020497	0.000964	0.306353
1290	-4963.908744	-4818.070887	-150.170985	0.218109	0.199111	0.397795	0.184984	0.122286	0.266705	0.935683	0.024656	0.000964	0.185603
1300	-4961.112769	-4817.071608	-149.086533	0.218109	0.199111	0.397795	0.184984	0.069001	0.176761	0.935683	0.024656	0.001743	0.185603
1310	-4956.962039	-4812.434820	-149.404097	0.210066	0.238300	0.356105	0.195530	0.077445	0.202015	0.935683	0.024656	0.001743	0.185603
1320	-4955.533753	-4812.187809	-148.172509	0.227658	0.246498	0.340437	0.185407	0.077445	0.202015	0.935683	0.031848	0.004614	0.185603
1330	-4966.646578	-4820.396378	-152.060566	0.257952	0.205032	0.350011	0.187005	0.077445	0.202015	0.747956	0.023828	0.003600	0.185603
1340	-4965.674419	-4819.565142	-151.906232	0.257952	0.205032	0.350011	0.187005	0.077445	0.202015	0.747956	0.023828	0.006282	0.185603
1350	-4970.846395	-4821.996790	-154.658662	0.209730	0.237671	0.342301	0.210299	0.072390	0.202015	0.747956	0.026463	0.006282	0.185603
1360	-4966.503940	-4817.810079	-154.643417	0.218505	0.221672	0.362002	0.197821	0.064632	0.202015	0.747956	0.021096	0.006282	0.170629
1370	-4966.568342	-4817.061842	-154.826921	0.218505	0.221672	0.362002	0.197821	0.064632	0.199159	0.875153	0.025443	0.003421	0.170629
1380	-4965.302131	-4816.435484	-154.290337	0.230466	0.210177	0.360734	0.198623	0.064632	0.180386	0.875153	0.025443	0.001541	0.170629
1390	-4966.273711	-4817.137762	-154.554302	0.229583	0.200973	0.392938	0.176506	0.064632	0.180386	0.875153	0.025443	0.002608	0.170629
1400	-4962.431413	-4815.836392	-152.013374	0.230814	0.256420	0.355017	0.157749	0.064632	0.180386	0.875153	0.025443	0.002608	0.170629
1410	-4961.336114	-4812.899576	-153.854891	0.230814	0.256420	0.355017	0.157749	0.064632	0.180386	0.875153	0.025443	0.002608	0.170629
1420	-4958.776150	-4810.876384	-153.236218	0.218737	0.252923	0.363467	0.164874	0.064632	0.196197	0.875153	0.025443	0.003177	0.170629
1430	-4961.009544	-4813.136944	-153.236218	0.252255	0.236876	0.341047	0.169821	0.064632	0.190767	0.875153	0.018361	0.003177	0.177708
1440	-4958.607383	-4810.171871	-153.746568	0.252255	0.236876	0.341047	0.169821	0.064632	0.190767	0.875153	0.018361	0.003177	0.188220
1450	-4957.278447	-4807.669551	-154.913807	0.252255	0.236876	0.341047	0.169821	0.064632	0.190767	0.875153	0.018361	0.004407	0.188220
1460	-4957.027753	-4808.354002	-153.978661	0.252255	0.236876	0.341047	0.169821	0.064632	0.190767	0.875153	0.018361	0.004407	0.188220
1470	-4953.585061	-4806.776759	-151.812851	0.252255	0.236876	0.341047	0.169821	0.064632	0.190767	0.929048	0.026934	0.002011	0.188220
1480	-4953.798902	-4807.055330	-151.795264	0.252255	0.236876	0.341047	0.169821	0.055203	0.190767	0.929048	0.026934	0.002011	0.188220
1490	-4954.331424	-4807.754557	-151.793331	0.252255	0.236876	0.341047	0.169821	0.049990	0.190767	0.929048	0.026934	0.002011	0.160478
1500	-4957.125898	-4808.819651	-153.519156	0.252255	0.236876	0.341047	0.169821	0.049990	0.190767	0.929048	0.026934	0.002722	0.160478
1510	-4958.069546	-4811.506773	-152.502434	0.205168	0.237487	0.342348	0.214996	0.049990	0.190767	0.783913	0.026934	0.002506	0.160478
1520	-4958.005356	-4810.883224	-153.023996	0.205168	0.237487	0.342348	0.214996	0.055388	0.190767	0.783913	0.029096	0.002506	0.160478
1530	-4957.288483	-4810.091728	-153.039288	0.227732	0.260293	0.316780	0.195195	0.055388	0.190767	0.783913	0.029096	0.002506	0.172345
1540	-4957.690639	-4808.091388	-155.391612	0.227732	0.260293	0.316780	0.195195	0.065416	0.190767	0.783913	0.029096	0.002512	0.172345
1550	-4957.904276	-4808.612235	-155.068255	0.227732	0.260293	0.316780	0.195195	0.065416	0.190767	0.783913	0.029096	0.005742	0.172345
1560	-4959.727629	-4810.451605	-155.052239	0.207855	0.277234	0.340861	0.174050	0.065416	0.190767	0.783913	0.029096	0.005742	0.172345
1570	-4953.785323	-4804.106405	-155.455132	0.236747	0.224044	0.354877	0.184331	0.065416	0.190767	0.783913	0.029096	0.005742	0.172345
1580	-4954.346222	-4804.678859	-155.455132	0.236747	0.224044	0.354877	0.184331	0.079526	0.178734	0.783913	0.024078	0.006373	0.172345
1590	-4966.371027	-4815.414116	-157.100614	0.236747	0.224044	0.354877	0.184331	0.079526	0.178734	0.783913	0.024078	0.006373	0.101158
1600	-4970.747782	-4818.824616	-158.102086	0.231876	0.214027	0.387408	0.166689	0.079526	0.178734	0.783913	0.017034	0.006373	0.101158
1610	-4978.307877	-4826.799146	-157.329336	0.231876	0.214027	0.387408	0.166689	0.079526	0.250397	0.783913	0.017034	0.006373	0.101158
1620	-4974.284901	-4819.497157	-160.792617	0.216290	0.248621	0.374703	0.160386	0.042992	0.250397	0.783913	0.017034	0.006052	0.101158
1630	-4977.026744	-4819.518291	-163.261918	0.216290	0.248621	0.374703	0.160386	0.085585	0.250397	0.783913	0.017034	0.013742	0.101158
1640	-4978.346679	-4818.569301	-165.479706	0.216290	0.248621	0.374703	0.160386	0.085585	0.250397	0.783913	0.020785	0.013742	0.107635
1650	-4981.409475	-4820.978353	-166.133450	0.216290	0.248621	0.374703	0.160386	0.085585	0.250397	0.783913	0.020785	0.013742	0.107635
1660	-4975.810716	-4815.400813	-166.142687	0.216290	0.248621	0.374703	0.160386	0.085585	0.250397	0.783913	0.020785	0.007651	0.107635
1670	-4974.003218	-4813.035999	-166.240078	0.216290	0.248621	0.374703	0.160386	0.085585	0.250397	0.783913	0.017894	0.006501	0.203661
1680	-4983.447710	-4818.947071	-169.773498	0.261344	0.195000	0.362517	0.181139	0.085585	0.250397	0.783913	0.017894	0.006501	0.203661
1690	-4983.464263	-4819.546961	-169.773405	0.261344	0.195000	0.362517	0.181139	0.085585	0.136650	0.783913	0.017894	0.003598	0.203661
1700	-4977.396136	-4813.029075	-169.720194	0.255018	0.221607	0.352119	0.171256	0.085585	0.232420	0.783913	0.022266	0.004050	0.203661
1710	-4975.003696	-4810.551109	-169.805720	0.255018	0.221607	0.352119	0.171256	0.085585	0.232420	0.783913	0.022266	0.004050	0.203661
1720	-4969.835616	-4804.753997	-168.730357	0.239673	0.227356	0.368735	0.164236	0.085585	0.232420	1.124792	0.022266	0.004050	0.203661
1730	-4970.071611	-4804.999440	-168.734350	0.244732	0.229526	0.354244	0.171498	0.085585	0.232420	1.124792	0.022266	0.001362	0.203661
1740	-4967.789986	-4804.050363	-167.401802	0.244732	0.229526	0.354244	0.171498	0.085585	0.232420	1.124792	0.022266	0.001362	0.203661
1750	-4970.751958	-4805.550180	-168.454675	0.221444	0.252804	0.335430	0.190322	0.085585	0.232420	1.124792	0.037099	0.001362	0.270685
1760	-4971.513455	-4806.217936	-168.035461	0.203011	0.250289	0.370077	0.176623	0.085585	0.334037	1.124792	0.037099	0.002336	0.270685
1770	-4966.861386	-4801.355305	-168.423027	0.228079	0.239350	0.354209	0.178363	0.085585	0.297954	1.124792	0.037099	0.003018	0.270685
1780	-4973.653516	-4799.834813	-176.590401	0.228079	0.239350	0.354209	0.178363	0.085585	0.297954	1.190933	0.037099	0.007818	0.228794
1790	-4974.523167	-4800.733514	-176.590401	0.207538	0.245830	0.371465	0.175167	0.085585	0.297954	1.190933	0.031289	0.007818	0.228794
1800	-4971.878165	-4798.088512	-176.590401	0.222867	0.245054	0.359064	0.173015	0.085585	0.297954	1.190933	0.031289	0.007818	0.228794
1810	-4974.119061	-4801.100922	-176.569480	0.223941	0.236629	0.368025	0.171404	0.085585	0.297954	1.044422	0.031289	0.004210	0.228794
1820	-4976.667427	-4802.237102	-177.953148	0.223941	0.236629	0.368025	0.171404	0.087863	0.297954	1.044422	0.031289	0.007635	0.228794
1830	-4981.197005	-4807.164427	-176.698427	0.211561	0.264738	0.373638	0.150064	0.087863	0.297954	1.215819	0.024592	0.014329	0.228794
1840	-4981.546418	-4807.544470	-176.667797	0.207084	0.286225	0.345604	0.161086	0.087863	0.297954	1.215819	0.024592	0.014329	0.228794
1850	-4979.500339	-4804.581628	-177.601064	0.207084	0.286225	0.345604	0.161086	0.087863	0.297954	1.215819	0.024592	0.011028	0.228794
1860	-4979.802323	-4803.943690	-178.242196	0.206893	0.275341	0.345302	0.172465	0.087863	0.297954	1.215819	0.024592	0.011028	0.288552
1870	-4979.695464	-4803.625716	-178.470558	0.206893	0.275341	0.345302	0.172465	0.087863	0.294505	1.215819	0.024592	0.011028	0.288552
1880	-4985.150676	-4806.328099	-181.153128	0.231134	0.232912	0.358630	0.177323	0.087863	0.294505	1.215819	0.024592	0.025080	0.288552
1890	-4989.780392	-4812.270232	-179.723959	0.231134	0.232912	0.358630	0.177323	0.085582	0.294505	1.215819	0.050223	0.025080	0.288552
